title,na_sales,jp_sales,pal_sales,other_sales,total_title,popular_title,flop_title
Deus Ex: Human Revolution,1.56999998167157,0.0899999998509884,1.38000001385808,0.429999994114041,5,North America,Japan
Marvel Super Hero Squad,0.970000028610229,NULL,0.179999997839332,0.119999997317791,5,North America,Other Region
Drawn to Life (JP sales),NULL,0,NULL,NULL,1,Japan,Japan
Faery: Legends of Avalon,NULL,NULL,NULL,NULL,3,Other Region,Other Region
NBA 2K1,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Silverio Trinity: Beyond the H,NULL,NULL,NULL,NULL,1,Other Region,Other Region
BINGO for Nintendo Switch,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Beam'em Up,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Lemmings Touch,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Pajama Sam 2: Thunder and Ligh,NULL,NULL,NULL,NULL,1,Other Region,Other Region
BeatMania Best Hits,NULL,NULL,NULL,NULL,1,Other Region,Other Region
WWE SmackDown! Shut Your Mouth,1.32000005245209,0.0399999991059303,1.28999996185303,NULL,2,North America,Other Region
Spotto!,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Samantha Swift and the Mystery,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Poker Ball,NULL,NULL,NULL,NULL,1,Other Region,Other Region
serial experiments lain,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Sesame Street Counting Cafe,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Dodgeball Academia,NULL,NULL,NULL,NULL,4,Other Region,Other Region
Marriage Royale: Prism Story,NULL,0.0500000007450581,NULL,NULL,1,Japan,Other Region
Fun House,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Card II,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Gravity,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Maya The Bee: Sweet Gold,NULL,NULL,NULL,NULL,1,Other Region,Other Region
SD Gundam G Century S,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Game no Kanzume Vol 1,NULL,0.0399999991059303,NULL,0,1,Japan,Other Region
Street Fighter III: Double Imp,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Quiz Sekai wa Show by Shoubai!,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Panzer Elite,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Puffins: Let's Race,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Pokémon Mystery Dungeon: Gates,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Valhalla Knights 2: Battle Sta,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Kenka Bancho Otome: 2nd Rumble,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Lego Legends of Chima: Laval's,0.200000002980232,NULL,0.109999999403954,0.0299999993294477,1,North America,Other Region
WarBirds 2006,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Party Wave,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Alien Nations,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Nuclear War,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Mobile Suit Gundam Side Story:,NULL,0.119999997317791,NULL,NULL,1,Japan,Other Region
Love Once: Mermaid's Tears,NULL,0.0199999995529652,NULL,NULL,1,Japan,Other Region
"Boku, Doraemon",NULL,NULL,NULL,NULL,1,Other Region,Other Region
Figment,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Critter Round-Up,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Postal 2 Complete,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Little Witch Academia: Chamber,NULL,0.00999999977648258,NULL,NULL,1,Japan,Other Region
Donkey Konga 1+2 Pack,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Gakuen Toshi Vara Noir Roses,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Zack Zero,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Sakigake!! Otokojuku,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Nikoli no Puzzle: Hitori ni Sh,NULL,NULL,NULL,NULL,1,Other Region,Other Region
The Eternal Dagger,NULL,NULL,NULL,NULL,1,Other Region,Other Region
EVE Online: Empyrean Age,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Boku mo Sekai o Sukuitai,NULL,NULL,NULL,NULL,1,Other Region,Other Region
SD Gundam Force,0.00999999977648258,NULL,0,0,1,North America,Europe and Africa
Super Fire ProWrestling X Prem,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Gundam Battle Assault,0.129999995231628,NULL,0.0900000035762787,0.0199999995529652,1,North America,Other Region
Trigger Man,0.119999997317791,NULL,0.0699999984353781,0.0199999995529652,3,North America,Other Region
Jaws: Ultimate Predator,0.189999997615814,NULL,NULL,0.0199999995529652,2,North America,Other Region
The King of Fighters '94,NULL,0.119999997317791,NULL,0,3,Japan,Other Region
Sunny Garcia Surfing,0.0199999995529652,NULL,0.00999999977648258,0,1,North America,Other Region
Surround,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Garbage Truck Simulator 2011,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Button City,NULL,NULL,NULL,NULL,6,Other Region,Other Region
Koukou Nyuushideru Jun: Rika A,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Bugs Bunny In Crazy Castle 4,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Armored Core 2: Another Age,0.109999999403954,0.189999997615814,0.0799999982118607,0.0299999993294477,1,Japan,Other Region
Jeopardy! Deluxe Edition,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Pocket-Jongg 2009,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Melody Blaster,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Speedy Gonzales: Aztec Adventu,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Swordquest: FireWorld,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Pop Breeder,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Hard Hitter Tennis,0.150000005960464,NULL,0.109999999403954,0.0399999991059303,1,North America,Other Region
Dragon Egg!,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Avatar Legends,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Space Cowboy Online,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Yu-Gi-Oh! Cross Duel,NULL,NULL,NULL,NULL,2,Other Region,Other Region
WWE 2K19,0.660000026226044,NULL,0.600000008940697,0.199999995529652,3,North America,Other Region
Rugrats: I Gotta Go Party,0.189999997615814,NULL,0.0700000002980232,0,1,North America,Other Region
RPG Maker II,0.0599999986588955,NULL,0.0500000007450581,0.0199999995529652,1,North America,Other Region
Tokyo Twilight Ghost Hunters D,0.0399999991059303,NULL,NULL,0.00999999977648258,1,North America,Other Region
Naval Ops: Commander,0.0299999993294477,NULL,0.0199999995529652,0.00999999977648258,1,North America,Other Region
LocoRoco Cocoreccho!,NULL,NULL,NULL,NULL,1,Other Region,Other Region
"Atama wo Kitaete Asobu Taisen ",NULL,NULL,NULL,NULL,1,Other Region,Other Region
Terra Cresta II: Mandler no Gy,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Ghost Trap,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Firewatch,NULL,NULL,NULL,NULL,6,Other Region,Other Region
Everest (1999),NULL,NULL,NULL,NULL,1,Other Region,Other Region
"Lupin III: Lupin ni wa Shi o, ",NULL,0.0500000007450581,NULL,NULL,1,Japan,Other Region
Painkiller,NULL,NULL,0.0199999995529652,0,1,Europe and Africa,Other Region
Pokémon Black 2 and White 2,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Earth Defense Force 5,NULL,NULL,NULL,NULL,3,Other Region,Other Region
Hitman: HD Trilogy,0.140000000596046,NULL,0.190000005066395,0.0399999991059303,2,Europe and Africa,Other Region
Backyard NFL Football '10,0.289999997243285,NULL,0.0199999995529652,0.0299999993294477,3,North America,Other Region
American Fugitive,NULL,NULL,NULL,NULL,1,Other Region,Other Region
The Pandora Directive,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Mutsu: Water Looper Mutsu,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Secret Agent Files: Miami,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Hexcells Infinite,NULL,NULL,NULL,NULL,3,Other Region,Other Region
Minna de Taisen Puzzle: Shangh,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Dawnspire: Prelude,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Hang On & Safari Hunt,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Tyrants: Fight Through Time,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Strawberry Shortcake: Strawber,0.0500000007450581,NULL,0,0,1,North America,Europe and Africa
River City Girls 2,NULL,NULL,NULL,NULL,6,Other Region,Other Region
Worms 3,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Simple 1500 Series Vol. 23: Th,NULL,NULL,NULL,NULL,1,Other Region,Other Region
fault - SILENCE THE PEDANT,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Manhunt 2,0.560000009834766,NULL,0.620000004768372,0.230000000447035,5,Europe and Africa,Other Region
The X-Factor,NULL,NULL,0.469999991357327,0.0799999982118607,3,Europe and Africa,Other Region
Trauma Center: New Blood,0.219999998807907,0.00999999977648258,0.0399999991059303,0.0199999995529652,1,North America,Japan
Oddly Enough: Pied Piper,NULL,NULL,0,0,1,Europe and Africa,Europe and Africa
Altitude,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Advanced V.G. 2,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Jigsaw World,NULL,NULL,NULL,NULL,2,Other Region,Other Region
Rayman Raving Rabbids: TV Part,1.16000002622604,NULL,1.09000004269183,0.270000003278255,3,North America,Other Region
Macross Ultimate Frontier,NULL,0.170000001788139,NULL,NULL,1,Japan,Other Region
Vampire Night,0.0700000002980232,NULL,0.0500000007450581,0.0199999995529652,1,North America,Other Region
Solomon's Key (Arcade),NULL,NULL,NULL,NULL,1,Other Region,Other Region
Guardian,NULL,NULL,NULL,NULL,2,Other Region,Other Region
London and South East,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Mario Golf: Toadstool Tour,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Relief Pitcher,NULL,NULL,NULL,NULL,1,Other Region,Other Region
KartRider,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Wizardry Empire II: Oujo no Is,NULL,NULL,NULL,NULL,1,Other Region,Other Region
Dungeons,0.0700000002980232,NULL,0.0199999995529652,0.00999999977648258,1,North America,Other Region
The Sacred Amulet,NULL,NULL,NULL,NULL,1,Other Region,Other Region
BBG,NULL,NULL,NULL,NULL,1,Other Region,Other Region
KNACK's Quest,NULL,NULL,NULL,NULL,2,Other Region,Other Region
"Capcom vs. SNK 2: Millionaire ",NULL,0.119999997317791,NULL,NULL,1,Japan,Other Region
RC de GO!,0,NULL,0,0,1,North America,North America
